campaign_id,campaign_name,campaign_type,campaign_channel,campaign_start_date,campaign_end_date,campaign_category,offer_type,offer_value,creative_id,target_segment,product_id,target_row_count
CMP0018,2024 Summer Promotion Personal Care 018,Win-back,Paid Social,2024-05-11,2024-05-25,Summer Promotion,Free Shipping,0.0,CRT0018-PAIDS,Broad Prospecting,PRD024,2835
CMP0019,2024 Summer Promotion Fitness & Wellness 019,Acquisition,Mobile Push,2024-05-18,2024-05-26,Summer Promotion,Bundle Offer,8.0,CRT0019-MOBIL,Family Households,PRD016,5956
CMP0020,2024 Summer Promotion Personal Care 020,Upsell,Email,2024-05-29,2024-06-07,Summer Promotion,Free Shipping,0.0,CRT0020-EMAIL,High Income Professionals,PRD019,8132
CMP0021,2024 Summer Promotion Personal Care 021,Awareness,Telemarketing,2024-06-01,2024-06-13,Summer Promotion,Percent Discount,25.0,CRT0021-TELEM,Broad Prospecting,PRD021,4031
CMP0022,2024 Summer Promotion Fitness & Wellness 022,Cross-sell,Paid Social,2024-06-11,2024-07-01,Summer Promotion,Loyalty Reward,15.0,CRT0022-PAIDS,Young Professionals,PRD018,5156
CMP0023,2024 Summer Promotion Personal Care 023,Acquisition,Email,2024-06-17,2024-07-01,Summer Promotion,None,0.0,CRT0023-EMAIL,Family Households,PRD023,5630
CMP0024,2024 Summer Promotion Home & Kitchen 024,Loyalty,SMS,2024-06-23,2024-07-10,Summer Promotion,Percent Discount,10.0,CRT0024-SMS,High Income Professionals,PRD009,7946
CMP0025,2024 Summer Promotion Home & Kitchen 025,Cross-sell,Direct Mail,2024-06-30,2024-07-21,Summer Promotion,Percent Discount,10.0,CRT0025-DIREC,Family Households,PRD008,5301
CMP0026,2024 Summer Promotion Outdoor & Recreation 026,Acquisition,Email,2024-07-11,2024-08-01,Summer Promotion,Bundle Offer,12.0,CRT0026-EMAIL,Young Professionals,PRD031,4001
CMP0027,2024 Summer Promotion Electronics 027,Awareness,Email,2024-07-19,2024-08-16,Summer Promotion,None,0.0,CRT0027-EMAIL,High Income Professionals,PRD004,9484
CMP0028,2024 Summer Promotion Apparel & Accessories 028,Acquisition,Paid Search,2024-07-24,2024-08-11,Summer Promotion,Percent Discount,15.0,CRT0028-PAIDS,Young Professionals,PRD027,5819
CMP0029,2024 Summer Promotion Fitness & Wellness 029,Cross-sell,Email,2024-07-31,2024-08-09,Summer Promotion,Percent Discount,25.0,CRT0029-EMAIL,Young Professionals,PRD013,10352
CMP0030,2024 Cross-sell Promotion Fitness & Wellness 030,Cross-sell,Paid Social,2024-08-07,2024-08-24,Cross-sell Promotion,Percent Discount,20.0,CRT0030-PAIDS,Digitally Oriented,PRD015,4124
CMP0031,2024 Customer Acquisition Home & Kitchen 031,Acquisition,Direct Mail,2024-08-14,2024-08-25,Customer Acquisition,None,0.0,CRT0031-DIREC,Young Professionals,PRD010,5914
CMP0032,2024 Retention Offer Electronics 032,Retention,Display,2024-08-27,2024-09-10,Retention Offer,Percent Discount,20.0,CRT0032-DISPL,Broad Prospecting,PRD006,11842
CMP0033,2024 Premium / Upgrade Promotion Personal Care 033,Upsell,Email,2024-09-01,2024-09-28,Premium / Upgrade Promotion,None,0.0,CRT0033-EMAIL,Young Professionals,PRD023,3629
CMP0034,2024 Retention Offer Fitness & Wellness 034,Retention,Direct Mail,2024-09-12,2024-09-23,Retention Offer,Percent Discount,25.0,CRT0034-DIREC,Young Professionals,PRD015,2836
CMP0035,2024 Reactivation Offer Fitness & Wellness 035,Win-back,Email,2024-09-14,2024-10-09,Reactivation Offer,Percent Discount,15.0,CRT0035-EMAIL,Young Professionals,PRD014,4462
CMP0036,2024 Cross-sell Promotion Home & Kitchen 036,Cross-sell,Mobile Push,2024-09-26,2024-10-08,Cross-sell Promotion,Free Shipping,0.0,CRT0036-MOBIL,Broad Prospecting,PRD009,4581
CMP0037,2024 Customer Acquisition Personal Care 037,Acquisition,Mobile Push,2024-09-28,2024-10-07,Customer Acquisition,Free Shipping,0.0,CRT0037-MOBIL,Young Professionals,PRD024,4845
CMP0038,2024 Retention Offer Home & Kitchen 038,Retention,Paid Social,2024-10-06,2024-10-20,Retention Offer,Bundle Offer,12.0,CRT0038-PAIDS,High Income Professionals,PRD007,3356
CMP0039,2024 Customer Acquisition Home & Kitchen 039,Acquisition,Email,2024-10-17,2024-10-31,Customer Acquisition,Percent Discount,5.0,CRT0039-EMAIL,High Income Professionals,PRD012,8871
CMP0040,2024 Customer Acquisition Home & Kitchen 040,Acquisition,Mobile Push,2024-10-27,2024-11-06,Customer Acquisition,Percent Discount,15.0,CRT0040-MOBIL,Value Seekers,PRD008,3446
CMP0041,2024 Holiday / Year-end Promotion Outdoor & Recreation 041,Retention,Email,2024-11-04,2024-11-17,Holiday / Year-end Promotion,Free Shipping,0.0,CRT0041-EMAIL,Young Professionals,PRD032,8899
CMP0042,2024 Holiday / Year-end Promotion Personal Care 042,Cross-sell,Paid Social,2024-11-09,2024-11-29,Holiday / Year-end Promotion,Percent Discount,15.0,CRT0042-PAIDS,Young Professionals,PRD020,2174
CMP0043,2024 Holiday / Year-end Promotion Fitness & Wellness 043,Retention,Paid Search,2024-11-14,2024-12-04,Holiday / Year-end Promotion,Percent Discount,20.0,CRT0043-PAIDS,Family Households,PRD014,13675
CMP0044,2024 Holiday / Year-end Promotion Personal Care 044,Acquisition,Direct Mail,2024-11-21,2024-11-30,Holiday / Year-end Promotion,Percent Discount,20.0,CRT0044-DIREC,Value Seekers,PRD024,4126
CMP0045,2024 Holiday / Year-end Promotion Home & Kitchen 045,Acquisition,Email,2024-12-03,2024-12-22,Holiday / Year-end Promotion,Percent Discount,15.0,CRT0045-EMAIL,Value Seekers,PRD012,4619
CMP0046,2024 Holiday / Year-end Promotion Fitness & Wellness 046,Acquisition,Email,2024-12-09,2024-12-26,Holiday / Year-end Promotion,Loyalty Reward,5.0,CRT0046-EMAIL,Mature Customers,PRD018,8938
CMP0047,2024 Holiday / Year-end Promotion Home & Kitchen 047,Acquisition,Mobile Push,2024-12-13,2025-01-01,Holiday / Year-end Promotion,Percent Discount,15.0,CRT0047-MOBIL,Prior Buyers,PRD008,4308
CMP0048,2024 Holiday / Year-end Promotion Outdoor & Recreation 048,Acquisition,Email,2024-12-26,2025-01-11,Holiday / Year-end Promotion,Percent Discount,10.0,CRT0048-EMAIL,Broad Prospecting,PRD032,12738
CMP0049,2024 Holiday / Year-end Promotion Personal Care 049,Retention,Website / On-site,2024-12-28,2025-01-24,Holiday / Year-end Promotion,Bundle Offer,5.0,CRT0049-WEBSI,Value Seekers,PRD023,2968
CMP0050,2025 Customer Acquisition Apparel & Accessories 050,Acquisition,Email,2025-01-08,2025-01-31,Customer Acquisition,Free Shipping,0.0,CRT0050-EMAIL,Broad Prospecting,PRD030,2921
CMP0051,2025 Customer Acquisition Apparel & Accessories 051,Acquisition,Direct Mail,2025-01-18,2025-01-28,Customer Acquisition,Free Shipping,0.0,CRT0051-DIREC,Broad Prospecting,PRD028,8679
CMP0052,2025 Premium / Upgrade Promotion Office & Productivity 052,Upsell,Email,2025-01-20,2025-02-03,Premium / Upgrade Promotion,Free Shipping,0.0,CRT0052-EMAIL,Prior Buyers,PRD037,8498
CMP0053,2025 Retention Offer Electronics 053,Retention,Paid Social,2025-02-03,2025-02-19,Retention Offer,Bundle Offer,15.0,CRT0053-PAIDS,Digitally Oriented,PRD004,9615
CMP0054,2025 Cross-sell Promotion Electronics 054,Cross-sell,Email,2025-02-09,2025-03-06,Cross-sell Promotion,None,0.0,CRT0054-EMAIL,Broad Prospecting,PRD002,6704
CMP0055,2025 Cross-sell Promotion Apparel & Accessories 055,Cross-sell,Email,2025-02-14,2025-03-10,Cross-sell Promotion,Bundle Offer,15.0,CRT0055-EMAIL,Young Professionals,PRD029,3713
CMP0056,2025 Reactivation Offer Fitness & Wellness 056,Win-back,Display,2025-02-22,2025-03-02,Reactivation Offer,Bundle Offer,15.0,CRT0056-DISPL,Young Professionals,PRD018,3697
CMP0057,2025 Reactivation Offer Apparel & Accessories 057,Win-back,SMS,2025-03-01,2025-03-27,Reactivation Offer,Free Shipping,0.0,CRT0057-SMS,Mature Customers,PRD028,2957
CMP0058,2025 Customer Acquisition Fitness & Wellness 058,Acquisition,Email,2025-03-07,2025-03-19,Customer Acquisition,Percent Discount,15.0,CRT0058-EMAIL,Digitally Oriented,PRD015,3726
CMP0059,2025 Customer Acquisition Apparel & Accessories 059,Acquisition,Email,2025-03-16,2025-03-25,Customer Acquisition,Percent Discount,10.0,CRT0059-EMAIL,Broad Prospecting,PRD025,2720
CMP0060,2025 Customer Acquisition Fitness & Wellness 060,Acquisition,Email,2025-03-24,2025-04-13,Customer Acquisition,Percent Discount,20.0,CRT0060-EMAIL,Family Households,PRD014,8034
CMP0061,2025 Loyalty Promotion Fitness & Wellness 061,Loyalty,Mobile Push,2025-03-30,2025-04-08,Loyalty Promotion,Percent Discount,20.0,CRT0061-MOBIL,Broad Prospecting,PRD013,7391
CMP0062,2025 Cross-sell Promotion Fitness & Wellness 062,Cross-sell,Email,2025-04-07,2025-05-03,Cross-sell Promotion,Fixed Discount,10.0,CRT0062-EMAIL,Digitally Oriented,PRD017,2513
CMP0063,2025 Cross-sell Promotion Personal Care 063,Cross-sell,Paid Search,2025-04-15,2025-05-12,Cross-sell Promotion,None,0.0,CRT0063-PAIDS,Young Professionals,PRD021,6393
CMP0064,2025 Cross-sell Promotion Personal Care 064,Cross-sell,SMS,2025-04-22,2025-05-16,Cross-sell Promotion,Percent Discount,5.0,CRT0064-SMS,Value Seekers,PRD024,13118
CMP0065,2025 Summer Promotion Home & Kitchen 065,Acquisition,Paid Search,2025-05-01,2025-05-11,Summer Promotion,Percent Discount,15.0,CRT0065-PAIDS,Family Households,PRD007,4022
CMP0066,2025 Summer Promotion Fitness & Wellness 066,Upsell,Paid Social,2025-05-08,2025-06-05,Summer Promotion,Percent Discount,10.0,CRT0066-PAIDS,Broad Prospecting,PRD018,12246
CMP0067,2025 Summer Promotion Electronics 067,Win-back,SMS,2025-05-19,2025-05-31,Summer Promotion,Percent Discount,20.0,CRT0067-SMS,Young Professionals,PRD005,3943
CMP0068,2025 Summer Promotion Office & Productivity 068,Upsell,Website / On-site,2025-05-24,2025-06-20,Summer Promotion,None,0.0,CRT0068-WEBSI,Young Professionals,PRD040,6033
CMP0069,2025 Summer Promotion Apparel & Accessories 069,Acquisition,Display,2025-05-29,2025-06-11,Summer Promotion,Fixed Discount,50.0,CRT0069-DISPL,Family Households,PRD029,10895
CMP0070,2025 Summer Promotion Fitness & Wellness 070,Upsell,Email,2025-06-07,2025-06-28,Summer Promotion,Percent Discount,15.0,CRT0070-EMAIL,Mature Customers,PRD018,3785
CMP0071,2025 Summer Promotion Electronics 071,Acquisition,Email,2025-06-19,2025-07-13,Summer Promotion,Fixed Discount,10.0,CRT0071-EMAIL,Family Households,PRD002,11806
CMP0072,2025 Summer Promotion Home & Kitchen 072,Retention,Email,2025-06-25,2025-07-13,Summer Promotion,Fixed Discount,10.0,CRT0072-EMAIL,Broad Prospecting,PRD007,6978
CMP0073,2025 Summer Promotion Home & Kitchen 073,Cross-sell,Direct Mail,2025-06-29,2025-07-11,Summer Promotion,Fixed Discount,30.0,CRT0073-DIREC,Young Professionals,PRD010,2706
CMP0074,2025 Summer Promotion Home & Kitchen 074,Acquisition,Direct Mail,2025-07-09,2025-07-27,Summer Promotion,Percent Discount,10.0,CRT0074-DIREC,Value Seekers,PRD009,3809
CMP0075,2025 Summer Promotion Apparel & Accessories 075,Acquisition,Telemarketing,2025-07-13,2025-08-07,Summer Promotion,Bundle Offer,5.0,CRT0075-TELEM,Prior Buyers,PRD025,7232
CMP0076,2025 Summer Promotion Fitness & Wellness 076,Cross-sell,Paid Social,2025-07-21,2025-08-01,Summer Promotion,None,0.0,CRT0076-PAIDS,Family Households,PRD015,4246
CMP0077,2025 Cross-sell Promotion Home & Kitchen 077,Cross-sell,Mobile Push,2025-08-01,2025-08-25,Cross-sell Promotion,Bundle Offer,10.0,CRT0077-MOBIL,Broad Prospecting,PRD007,13161
CMP0078,2025 Premium / Upgrade Promotion Office & Productivity 078,Upsell,SMS,2025-08-10,2025-09-02,Premium / Upgrade Promotion,Percent Discount,25.0,CRT0078-SMS,Broad Prospecting,PRD040,2196
CMP0079,2025 Customer Acquisition Apparel & Accessories 079,Acquisition,SMS,2025-08-19,2025-09-04,Customer Acquisition,None,0.0,CRT0079-SMS,Digitally Oriented,PRD028,4030
CMP0080,2025 Product Awareness Personal Care 080,Awareness,Email,2025-08-23,2025-09-18,Product Awareness,None,0.0,CRT0080-EMAIL,Mature Customers,PRD019,2714
CMP0081,2025 Reactivation Offer Office & Productivity 081,Win-back,Paid Search,2025-08-29,2025-09-26,Reactivation Offer,Loyalty Reward,5.0,CRT0081-PAIDS,High Income Professionals,PRD039,6962
CMP0082,2025 Premium / Upgrade Promotion Electronics 082,Upsell,Email,2025-09-06,2025-09-23,Premium / Upgrade Promotion,Percent Discount,25.0,CRT0082-EMAIL,Broad Prospecting,PRD004,7957
CMP0083,2025 Reactivation Offer Home & Kitchen 083,Win-back,Email,2025-09-18,2025-10-06,Reactivation Offer,Bundle Offer,8.0,CRT0083-EMAIL,Family Households,PRD008,6489
CMP0084,2025 Customer Acquisition Home & Kitchen 084,Acquisition,Paid Social,2025-09-24,2025-10-07,Customer Acquisition,Bundle Offer,15.0,CRT0084-PAIDS,Digitally Oriented,PRD009,4256
CMP0085,2025 Premium / Upgrade Promotion Smart Home 085,Upsell,Website / On-site,2025-10-03,2025-10-29,Premium / Upgrade Promotion,None,0.0,CRT0085-WEBSI,Value Seekers,PRD043,6292
CMP0086,2025 Customer Acquisition Home & Kitchen 086,Acquisition,SMS,2025-10-08,2025-11-01,Customer Acquisition,Fixed Discount,10.0,CRT0086-SMS,Value Seekers,PRD011,14210
CMP0087,2025 Retention Offer Apparel & Accessories 087,Retention,Direct Mail,2025-10-12,2025-11-08,Retention Offer,Percent Discount,25.0,CRT0087-DIREC,Young Professionals,PRD028,4376
CMP0088,2025 Product Awareness Fitness & Wellness 088,Awareness,SMS,2025-10-23,2025-11-19,Product Awareness,Fixed Discount,50.0,CRT0088-SMS,Prior Buyers,PRD017,4379
CMP0089,2025 Customer Acquisition Office & Productivity 089,Acquisition,Direct Mail,2025-10-30,2025-11-10,Customer Acquisition,Percent Discount,15.0,CRT0089-DIREC,High Income Professionals,PRD038,4269
CMP0090,2025 Holiday / Year-end Promotion Apparel & Accessories 090,Win-back,Telemarketing,2025-11-09,2025-11-27,Holiday / Year-end Promotion,Loyalty Reward,15.0,CRT0090-TELEM,Mature Customers,PRD027,7617
CMP0091,2025 Holiday / Year-end Promotion Apparel & Accessories 091,Cross-sell,Email,2025-11-16,2025-11-26,Holiday / Year-end Promotion,None,0.0,CRT0091-EMAIL,Family Households,PRD025,4862
CMP0092,2025 Holiday / Year-end Promotion Apparel & Accessories 092,Cross-sell,Paid Social,2025-11-22,2025-12-20,Holiday / Year-end Promotion,Fixed Discount,10.0,CRT0092-PAIDS,Mature Customers,PRD025,2505
CMP0093,2025 Holiday / Year-end Promotion Apparel & Accessories 093,Retention,Paid Search,2025-12-01,2025-12-25,Holiday / Year-end Promotion,Bundle Offer,8.0,CRT0093-PAIDS,Family Households,PRD025,6825
CMP0094,2025 Holiday / Year-end Promotion Personal Care 094,Upsell,SMS,2025-12-06,2025-12-16,Holiday / Year-end Promotion,Bundle Offer,5.0,CRT0094-SMS,High Income Professionals,PRD024,6745
CMP0095,2025 Holiday / Year-end Promotion Office & Productivity 095,Upsell,Email,2025-12-15,2025-12-31,Holiday / Year-end Promotion,Loyalty Reward,5.0,CRT0095-EMAIL,Broad Prospecting,PRD040,5151
CMP0096,2025 Holiday / Year-end Promotion Electronics 096,Acquisition,Paid Social,2025-12-24,2025-12-31,Holiday / Year-end Promotion,Bundle Offer,8.0,CRT0096-PAIDS,Digitally Oriented,PRD006,5044
